,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Warri,5.5167,5.75,307.67,43,73,4.33,NG,2021-03-29 15:03:03
1,Calabar,4.9517,8.322,304.2,59,56,4.81,NG,2021-03-29 15:03:03
2,Akonolinga,3.7667,12.25,298.49,69,100,1.2,CM,2021-03-29 15:03:03
3,Boali,4.8005,18.1275,309.15,32,26,2.57,CF,2021-03-29 15:03:04
4,Bozoum,6.3193,16.3799,308.75,13,6,3.13,CF,2021-03-29 15:03:04
5,Kelo,9.3086,15.8066,311.7,8,0,3.13,TD,2021-03-29 14:59:12
6,Lafia,8.4833,8.5167,313.46,11,35,2.58,NG,2021-03-29 15:03:04
7,Makurdi,7.7411,8.5121,313.26,11,27,2.61,NG,2021-03-29 15:03:04
8,Jalingo,8.8833,11.3667,312.37,10,41,3.99,NG,2021-03-29 14:59:12
9,Goundi,9.3627,17.366,312.21,8,2,3.11,TD,2021-03-29 14:59:13
10,Kumo,10.0447,11.2122,307.15,10,9,6.17,NG,2021-03-29 15:00:00
11,Bama,11.5221,13.6856,309.62,7,5,5.57,NG,2021-03-29 14:59:20
12,Bousso,10.4795,16.7117,312.17,8,2,3.5,TD,2021-03-29 14:59:54
13,Ngama,11.7833,17.1667,310.32,7,2,6.65,TD,2021-03-29 14:59:13
14,Kousseri,12.0769,15.0306,307.15,7,0,6.69,CM,2021-03-29 15:00:00
15,Faya,18.3851,42.4509,296.15,28,20,5.14,SA,2021-03-29 14:59:14
16,Bitkine,11.9801,18.2138,308.75,8,0,5.62,TD,2021-03-29 14:59:21
17,Melfi,40.9965,15.6514,292.15,59,0,7.72,IT,2021-03-29 14:59:13
18,Ati,13.2154,18.3353,308.22,7,0,6.65,TD,2021-03-29 14:59:13
19,Birao,10.2849,22.7882,309.46,7,5,4.0,CF,2021-03-29 14:59:16
20,Am Timan,11.0297,20.2827,310.05,8,3,2.96,TD,2021-03-29 15:02:12
21,Kutum,14.2,24.6667,300.01,9,0,6.21,SD,2021-03-29 14:59:55
22,Bara,10.3744,10.7288,307.15,10,7,6.17,NG,2021-03-29 14:59:56
23,Marawi,7.9986,124.2928,299.26,87,100,2.24,PH,2021-03-29 14:59:16
24,Awjilah,29.1081,21.2869,294.95,22,2,6.19,LY,2021-03-29 15:00:01
25,Jalu,29.0331,21.5482,294.98,21,2,6.02,LY,2021-03-29 14:59:15
26,Wadi Musa,30.3222,35.4793,288.8,26,0,1.58,JO,2021-03-29 15:03:06
27,Asyut,27.181,31.1837,294.15,35,0,8.75,EG,2021-03-29 14:58:26
28,Kilis,36.7161,37.115,288.15,31,0,2.06,TR,2021-03-29 15:03:06
29,Alanya,36.5438,31.9998,290.15,48,0,4.12,TR,2021-03-29 14:59:57
30,Aksehir,38.3575,31.4164,282.7,45,2,1.27,TR,2021-03-29 15:03:06
31,Zonguldak,41.25,31.8333,282.15,71,75,3.6,TR,2021-03-29 15:03:07
32,Lebane,42.9239,21.7375,289.26,27,0,8.75,RS,2021-03-29 15:03:07
33,Niksic,42.7731,18.9445,294.15,63,20,1.54,ME,2021-03-29 15:03:07
34,Baneh,35.9975,45.8853,281.82,43,0,1.8,IR,2021-03-29 15:03:07
35,Buraydah,26.326,43.975,296.15,23,0,6.17,SA,2021-03-29 14:59:17
36,Oni,42.5794,43.4425,276.2,83,61,0.69,GE,2021-03-29 15:03:08
37,Micomeseng,2.1462,10.6164,298.99,85,39,0.88,GQ,2021-03-29 15:03:08
38,Oyem,1.5995,11.5793,296.4,89,100,1.03,GA,2021-03-29 15:03:08
39,Yenagoa,4.9247,6.2642,305.45,52,63,4.59,NG,2021-03-29 14:59:10
40,Pindiga,9.9833,10.9333,307.15,10,12,6.17,NG,2021-03-29 14:59:58
41,Tibati,6.4667,12.6333,307.39,18,39,3.12,CM,2021-03-29 15:03:09
42,Meiganga,6.5167,14.3,305.76,20,9,2.79,CM,2021-03-29 14:59:19
43,Moissala,8.3404,17.7663,311.99,9,4,2.87,TD,2021-03-29 14:59:11
44,Yola,9.2,12.4833,312.46,8,30,4.4,NG,2021-03-29 15:03:09
45,Numan,9.4667,12.0333,312.79,8,22,2.85,NG,2021-03-29 15:03:09
46,Garoua,9.3,13.4,310.15,8,31,4.12,CM,2021-03-29 14:59:20
47,Mubi,10.2676,13.2644,308.54,9,8,4.52,NG,2021-03-29 15:03:09
48,Dourbali,11.8091,15.8632,310.36,7,0,6.44,TD,2021-03-29 14:59:12
49,Mao,39.8885,4.2658,291.15,68,20,6.69,ES,2021-03-29 14:59:21
50,Bokoro,12.3807,17.0568,309.39,8,3,6.64,TD,2021-03-29 14:59:54
51,Biltine,14.5333,20.9167,306.0,6,0,6.43,TD,2021-03-29 14:59:14
52,Abnub,27.2696,31.1511,294.15,35,0,8.75,EG,2021-03-29 14:59:22
53,Abu Zabad,12.35,29.25,305.91,9,0,6.02,SD,2021-03-29 15:03:10
54,Ajdabiya,30.7554,20.2263,291.19,43,0,7.67,LY,2021-03-29 14:59:22
55,Ayia Galini,35.1,24.6833,292.04,39,4,2.68,GR,2021-03-29 15:03:10
56,Doka,13.5167,35.7667,309.74,18,36,5.11,SD,2021-03-29 15:03:10
57,Adamas,36.7333,24.4333,290.15,63,0,7.72,GR,2021-03-29 15:03:11
58,Pafos,34.7667,32.4167,291.15,42,20,7.2,CY,2021-03-29 15:00:26
59,Ios,36.7333,25.2833,290.93,63,0,7.72,GR,2021-03-29 15:03:11
60,Tabuk,17.4189,121.4443,297.41,86,76,1.12,PH,2021-03-29 14:59:56
61,Bardiyah,31.7561,25.0865,289.74,60,7,6.32,LY,2021-03-29 15:03:11
62,Najran,17.4924,44.1277,301.15,20,1,7.2,SA,2021-03-29 15:03:12
63,Novyy Karachay,43.8208,41.9032,278.57,65,97,1.36,RU,2021-03-29 15:03:12
64,Yozgat,39.5833,35.3333,282.6,41,8,2.07,TR,2021-03-29 15:03:12
65,Lalibela,12.0333,39.0333,295.98,26,98,1.08,ET,2021-03-29 15:03:12
66,Oltu,40.5498,42.0013,276.87,59,33,1.05,TR,2021-03-29 15:03:13
67,Sakakah,29.9697,40.2064,296.15,10,0,3.6,SA,2021-03-29 15:00:01
68,Arvi,20.9833,78.2333,307.34,10,5,1.54,IN,2021-03-29 15:03:13
69,Lasa,46.6166,10.7002,296.15,29,0,2.06,IT,2021-03-29 15:03:13
70,Muscat,23.6139,58.5922,305.15,33,0,0.51,OM,2021-03-29 15:03:14
71,Kano,12.0001,8.5167,303.15,11,90,5.14,NG,2021-03-29 15:03:14
72,Ginda,30.6945,78.4932,298.15,50,16,2.06,IN,2021-03-29 15:03:14
